;;2 COLUMNAS;;;;;;;;;;;;;;;;;
MERCEDES;CLASE R;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
PEUGEOT;607;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
MERCEDES;CLASE M;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;JUSTO;SI;SI
RENAULT;LAGUNA NUEVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
FERRARI;355;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
RENAULT;VELSANTIS;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
AUDI;A8;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;SI;SI;SI;SI;SI
VOLKSWAGEN;TOUAREG;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
CITROEN;C8;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;JUSTO;SI;SI;SI;SI
FIAT;ULYSE MONOVOLUMEN;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;JUSTO;SI;SI;SI;SI
LANCIA;PMEDRA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;JUSTO;SI;SI;SI;SI
PEUGEOT;807;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;JUSTO;SI;SI;SI;SI
CITROEN;JUMPY;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
MERCEDES;CLASE S;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
